Name_Hebrew,Name,Wikibase Registry ID,occupation,place of birth,date of birth,sex or gender,Number of movies,Movies list,Year,Movie QID
,,,,,,,,Arthur 3: The War of the Two Worlds,2010,Q712194
,,,,,,,,Arthur and the Revenge of Maltazard,2009,Q389466
,,,,,,,,The Bugs Bunny/Road Runner Movie,1991,Q2918397
,,,,,,,,Batman: Mask of the Phantasm,1994,Q810858
,,,,,,,,Bayala - A Magical Adventure,2020,Q70103903
,,,,,,,,Bibi Blocksberg,2002,Q856267
,,,,,,,,The SpongeBob SquarePants Movie,2005,Q579928
,,,,,,,,Bolt,2008,Q212792
,,,,,,,,Bionicle: Mask of Light,2003,Q975962
,,,,,,,,Bionicle 2: Legends of Metru Nui,2004,Q2418819
,,,,,,,,Babe,1995,Q720724
,,,,,,,,Pippi Longstocking,1997,Q2971575
,,,,,,,,Monsters University,2013,Q641362
,,,,,,,,Party Central,2014,Q15733028
,,,,,,,,Barnyard,2006,Q1129308
,,,,,,,,Bambi,1993,Q43051
,,,,,,,,Bambi II,2006,Q200889
,,,,,,,,בעמקי החורף (2018),2018,
,,,,,,,,The Little Mermaid II: Return to the Sea,2000,Q467678
,,,,,,,,The Wild,2006,Q757250
,,,,,,,,Animals United,2011,Q708816
,,,,,,,,Justin and the Knights of Valour,2013,Q14451258
,,,,,,,,Sport Goofy in Soccermania,1997,Q3079767
,,,,,,,,An Extremely Goofy Movie,2000,Q1537670
,,,,,,,,We Can Be Heroes,2020,Q84598869
,,,,,,,,Despicable Me,2010,Q4447
,,,,,,,,Despicable Me 2,2013,Q637212
,,,,,,,,Despicable Me 3,2017,Q22997984
,,,,,,,,Cloudy with a Chance of Meatballs,2009,Q637169
,,,,,,,,Daffy Duck's Fantastic Island,1995,Q5208329
,,,,,,,,Daffy Duck's Quackbusters,1991,Q2081050
,,,,,,,,Nim's Island,2008,Q177340
,,,,,,,,Harry Potter and the Philosopher's Stone,2001,Q102438
,,,,,,,,Harry Potter and the Goblet of Fire,2005,Q102225
